output_image,background_image,donor_image,donor_key,class_id,class_name,donor_use,polygon_pixels
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0001.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_94_bfae854d41.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_75_bb2d1a4a0c.jpg,da57f947cc4452d4298e,3,止痛药,1,10.22 307.58 184.15 307.49 184.19 374.47 10.26 374.56
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0002.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2720_43e9a58868.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1311_43571d871d.jpg,eda388ef73ad0cec9ecb,3,止痛药,1,244.89 430.55 508.61 393.36 529.58 542.09 265.86 579.28
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0002.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2720_43e9a58868.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_569_6aee7d8123.jpg,6ff893edcbbf83eb2fe3,8,抗过敏药,1,58.25 341.59 214.76 351.69 198.15 609.07 41.65 598.97
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0003.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2715_c79da49187.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,e5560e2f31075792aecd,6,泻药通便,1,102.83 443.94 229.59 465.39 203.61 618.90 76.85 597.45
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0003.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2715_c79da49187.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2388_963ce2eb78.jpg,5acba4ced862cdcc7da0,3,止痛药,1,191.35 457.25 430.52 405.48 458.72 535.75 219.55 587.52
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0004.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2094_7b1b472095.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,e5560e2f31075792aecd,6,泻药通便,2,88.61 56.19 223.97 63.95 214.57 227.87 79.22 220.12
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0004.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2094_7b1b472095.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_75_bb2d1a4a0c.jpg,da57f947cc4452d4298e,3,止痛药,2,317.57 463.51 595.20 444.46 602.54 551.38 324.91 570.43
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0005.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_942_aaeb42fa0e.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_383_f2ccbac9e3.jpg,452f41319c0e0c4eaf0b,16,保健品,1,49.90 62.55 223.97 63.86 221.93 334.86 47.87 333.55
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0005.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_942_aaeb42fa0e.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3248_61cda2e4a2.jpg,a1215ce1784396b0dc0a,8,抗过敏药,1,332.29 474.77 467.16 314.57 605.80 431.29 470.94 591.49
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0006.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2053_6fec0c1d94.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3213_3c777f3fb5.jpg,96748b29c7bab38b1c05,8,抗过敏药,1,96.06 60.04 210.83 82.73 167.37 302.60 52.61 279.92
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0006.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2053_6fec0c1d94.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_401_b9587582fa.jpg,250439523795e039b744,16,保健品,1,323.17 407.64 598.95 421.46 588.87 622.59 313.09 608.77
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0007.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2570_eba50cfdcb.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_126_d3829d532f.jpg,929bcec570348b708cd9,14,妇科用药,1,181.40 9.37 455.63 46.25 435.66 194.67 161.44 157.79
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0007.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2570_eba50cfdcb.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_357_f77e82faa4.jpg,e46a5d4d3957b9f7ac54,16,保健品,1,15.67 368.26 142.59 370.67 138.01 612.01 11.10 609.60
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0008.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2043_39354e8e78.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,e5560e2f31075792aecd,6,泻药通便,3,331.55 117.16 499.49 102.12 517.71 305.51 349.77 320.55
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0008.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2043_39354e8e78.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_109_c00c4d2598.jpg,b1ef02c56828fca589fa,14,妇科用药,1,23.10 434.86 152.54 414.89 179.87 591.96 50.43 611.94
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0009.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_206_322de5dc27.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_262_462550fa86.jpg,74d7eb98fbd3ceec5e76,12,心血管药,1,29.97 8.20 245.75 13.83 242.91 122.45 27.13 116.82
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0010.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1931_a8bb0d54ed.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_308_9171c0b32b.jpg,08794d9792124888e766,16,保健品,1,68.43 69.00 180.94 82.22 164.05 226.00 51.54 212.78
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0010.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1931_a8bb0d54ed.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_12_34de2f911c.jpg,e5560e2f31075792aecd,6,泻药通便,4,188.14 19.28 335.10 54.82 292.05 232.81 145.10 197.26
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0011.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3304_ee0fae5935.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3189_88ae8e2fbd.jpg,ff9f350504218bca5084,8,抗过敏药,1,109.40 22.67 225.92 21.21 229.16 279.08 112.65 280.55
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0011.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3304_ee0fae5935.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2604_5e445eda84.jpg,b23cb4532cfb43f4177e,12,心血管药,1,394.99 30.18 621.88 113.45 551.00 306.58 324.11 223.31
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0012.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1274_e105e67e0c.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_309_de81375c16.jpg,9b9d877b5b11d77c8666,12,心血管药,1,323.50 411.75 571.61 384.69 591.54 567.48 343.43 594.53
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0012.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_1274_e105e67e0c.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_405_88576718cf.jpg,45131d8b274614584f3a,14,妇科用药,1,79.05 464.19 354.42 491.36 340.39 633.56 65.02 606.39
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0013.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_2434_373d935eaa.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_499_7603f2cf3c.jpg,d893195a805124e67c00,6,泻药通便,1,227.11 408.48 494.96 395.24 505.07 599.66 237.22 612.90
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0014.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3201_a2877158c8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3207_b2a6fd2ed2.jpg,8c19c70a91bfa3a8a829,8,抗过敏药,1,50.28 195.14 156.00 194.79 156.91 464.33 51.19 464.68
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0014.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_3201_a2877158c8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_115_00ab82a0ff.jpg,c935f280133ed391a004,14,妇科用药,1,299.53 460.18 570.33 408.68 599.04 559.62 328.24 611.12
D:\ai-vision-training\datasets\medicine_copypaste\train\images\copypaste_0015.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_390_981718f8cb.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\train_367_82d9ec052c.jpg,c51e90e687f2f777452c,16,保健品,1,17.04 176.95 88.66 169.44 105.53 330.40 33.91 337.91
