status,medicine_id,canonical_name,raw_names,proposed_category_id,category_name,confidence,source_categories,source_pages,detail_urls,reason
imported,1892,对乙酰氨基酚口服溶液,对乙酰氨基酚口服溶液,3,止痛药,0.92,感冒发热 | 病毒性感冒 | 解热镇痛 | 牙痛 | 肌肉关节痛 | 偏头痛,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/jierezhentong/ | https://ypk.39.net/yatong/ | https://ypk.39.net/jirouguanjietong/ | https://ypk.39.net/piantoutong/,https://ypk.39.net/497672/,解热镇痛页且药名含镇痛成分/特征; 疼痛页且药名含镇痛成分/特征
already_present,,小儿氨酚烷胺颗粒,小儿氨酚烷胺颗粒,0,,0.92,感冒发热 | 病毒性感冒,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/507580/,感冒页且药名含感冒特征
already_present,,复方氨酚烷胺片,复方氨酚烷胺片 | 复方氨酚烷胺片(感康),0,,0.92,感冒发热 | 病毒性感冒 | 解热镇痛 | 肌肉关节痛,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/jierezhentong/ | https://ypk.39.net/jirouguanjietong/,https://ypk.39.net/507814/ | https://ypk.39.net/507831/,感冒页且药名含感冒特征; 解热镇痛页中出现明确感冒药名，改归感冒药
already_present,,小儿感冒颗粒,小儿感冒颗粒,0,,0.92,感冒发热 | 病毒性感冒 | 止咳祛痰,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/zhikequtan/,https://ypk.39.net/508862/,感冒页且药名含感冒特征; 止咳页中出现明确感冒药名，改归感冒药
already_present,,感冒清片,感冒清片,0,,0.92,感冒发热 | 病毒性感冒 | 止咳祛痰 | 肌肉关节痛,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/zhikequtan/ | https://ypk.39.net/jirouguanjietong/,https://ypk.39.net/509170/,感冒页且药名含感冒特征; 止咳页中出现明确感冒药名，改归感冒药
already_present,,感冒软胶囊,感冒软胶囊,0,,0.92,感冒发热 | 病毒性感冒,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/568500/,感冒页且药名含感冒特征
already_present,,感冒清热颗粒,感冒清热颗粒(无蔗糖) | 感冒清热颗粒 | 感冒清热颗粒(无蔗糖)(同仁堂),0,,0.92,感冒发热 | 病毒性感冒 | 止咳祛痰,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/zhikequtan/,https://ypk.39.net/569633/ | https://ypk.39.net/659879/,感冒页且药名含感冒特征; 止咳页中出现明确感冒药名，改归感冒药
already_present,,感冒疏风片,感冒疏风片,0,,0.92,感冒发热 | 病毒性感冒 | 肌肉关节痛,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/jirouguanjietong/,https://ypk.39.net/572137/,感冒页且药名含感冒特征
already_present,,感冒灵胶囊,感冒灵胶囊,0,,0.92,感冒发热,https://ypk.39.net/ganmao/,https://ypk.39.net/572623/,感冒页且药名含感冒特征
already_present,,感冒清热软胶囊,感冒清热软胶囊,0,,0.92,感冒发热 | 病毒性感冒,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/585966/,感冒页且药名含感冒特征
review_unclassified,,氨咖黄敏胶囊,氨咖黄敏胶囊,,,0.0,感冒发热 | 病毒性感冒,https://ypk.39.net/ganmao/ | https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/587645/,感冒页药名缺少明确感冒特征
review_unclassified,,板蓝根颗粒,板蓝根颗粒 | 板蓝根颗粒(白云山),,,0.0,病毒性感冒 | 扁桃体炎,https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/biantaotiyan/,https://ypk.39.net/551969/ | https://ypk.39.net/668672/,感冒页药名缺少明确感冒特征; 炎症相关页面但药名不能确认是抗感染药
review_unclassified,,夏桑菊颗粒,夏桑菊颗粒,,,0.0,病毒性感冒,https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/569614/,感冒页药名缺少明确感冒特征
review_unclassified,,清开灵颗粒,清开灵颗粒 | 清开灵颗粒(白云山),,,0.0,病毒性感冒 | 扁桃体炎,https://ypk.39.net/bingduxingganmao/ | https://ypk.39.net/biantaotiyan/,https://ypk.39.net/623591/ | https://ypk.39.net/509591/,感冒页药名缺少明确感冒特征; 炎症相关页面但药名不能确认是抗感染药
review_unclassified,,复方金银花颗粒,复方金银花颗粒,,,0.0,病毒性感冒,https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/761367/,感冒页药名缺少明确感冒特征
already_present,,复方感冒灵颗粒,复方感冒灵颗粒,0,,0.92,病毒性感冒,https://ypk.39.net/bingduxingganmao/,https://ypk.39.net/786890/,感冒页且药名含感冒特征
already_present,,止咳宝片,止咳宝片(特一),1,,0.92,止咳祛痰,https://ypk.39.net/zhikequtan/,https://ypk.39.net/568722/,止咳页且药名含止咳/化痰特征
already_present,,连花清瘟胶囊,连花清瘟胶囊(以岭),0,,0.92,止咳祛痰 | 解热镇痛 | 肌肉关节痛,https://ypk.39.net/zhikequtan/ | https://ypk.39.net/jierezhentong/ | https://ypk.39.net/jirouguanjietong/,https://ypk.39.net/563759/,止咳页中出现明确感冒药名，改归感冒药; 解热镇痛页中出现明确感冒药名，改归感冒药
imported,1893,酚麻美敏片,酚麻美敏片(泰诺),0,感冒药,0.92,止咳祛痰 | 解热镇痛,https://ypk.39.net/zhikequtan/ | https://ypk.39.net/jierezhentong/,https://ypk.39.net/500728/,止咳页中出现明确感冒药名，改归感冒药; 解热镇痛页中出现明确感冒药名，改归感冒药
already_present,,氨溴特罗口服溶液,氨溴特罗口服溶液(易坦静),1,,0.92,止咳祛痰 | 小儿止咳化痰,https://ypk.39.net/zhikequtan/ | https://ypk.39.net/xiaoerkesou/,https://ypk.39.net/507577/,止咳页且药名含止咳/化痰特征
already_present,,王氏保赤丸,王氏保赤丸(南通),5,,0.92,止咳祛痰 | 助消化 | 止泻 | 痔疮便秘便血,https://ypk.39.net/zhikequtan/ | https://ypk.39.net/zhuxiaohua/ | https://ypk.39.net/zhixie/ | https://ypk.39.net/zhichuang/,https://ypk.39.net/508793/,来源功效分类直接映射
already_present,,一清颗粒,一清颗粒(绿雨),13,,0.0,止咳祛痰 | 扁桃体炎 | 牙痛 | 痔疮便秘便血,https://ypk.39.net/zhikequtan/ | https://ypk.39.net/biantaotiyan/ | https://ypk.39.net/yatong/ | https://ypk.39.net/zhichuang/,https://ypk.39.net/659880/,人工审计按 PDF 类别边界修正
already_present,,小儿肺热咳喘口服液,小儿肺热咳喘口服液(葵花),1,,0.92,止咳祛痰 | 小儿止咳化痰,https://ypk.39.net/zhikequtan/ | https://ypk.39.net/xiaoerkesou/,https://ypk.39.net/508806/,止咳页且药名含止咳/化痰特征
review_unclassified,,百令胶囊,百令胶囊(百令),,,0.0,止咳祛痰,https://ypk.39.net/zhikequtan/,https://ypk.39.net/509345/,止咳页药名缺少止咳/化痰特征
review_unclassified,,通宣理肺丸,通宣理肺丸(同仁堂),,,0.0,止咳祛痰,https://ypk.39.net/zhikequtan/,https://ypk.39.net/509304/,止咳页药名缺少止咳/化痰特征
already_present,,小儿清肺止咳片,小儿清肺止咳片,1,,0.92,止咳祛痰,https://ypk.39.net/zhikequtan/,https://ypk.39.net/508815/,止咳页且药名含止咳/化痰特征
already_present,,治咳川贝枇杷露,治咳川贝枇杷露,1,,0.92,止咳祛痰,https://ypk.39.net/zhikequtan/,https://ypk.39.net/509349/,止咳页且药名含止咳/化痰特征
already_present,,小儿消积止咳口服液,小儿消积止咳口服液(鲁南/宁宝),1,,0.92,小儿止咳化痰,https://ypk.39.net/xiaoerkesou/,https://ypk.39.net/508796/,止咳页且药名含止咳/化痰特征
review_unclassified,,小儿咽扁颗粒,小儿咽扁颗粒(同仁堂),,,0.0,小儿止咳化痰,https://ypk.39.net/xiaoerkesou/,https://ypk.39.net/508841/,止咳页药名缺少止咳/化痰特征
already_present,,小儿止咳糖浆,小儿止咳糖浆(潘高寿),1,,0.92,小儿止咳化痰,https://ypk.39.net/xiaoerkesou/,https://ypk.39.net/509421/,止咳页且药名含止咳/化痰特征
