class_id,class_name,images,instances,precision,recall,f1,map50,map50_95
0,感冒药,82,106,0.9347984403166466,0.8115337348258296,0.8688157732850976,0.9098727555381965,0.7413033990935485
1,止咳化痰,34,41,1.0,0.6561446316052718,0.7923760027761372,0.7099377541998232,0.5357062071772417
2,消炎药,119,123,0.8312051502161515,0.7886178861788617,0.8093516807901383,0.86402014040817,0.7270775699358664
3,止痛药,5,6,0.04625921801226122,0.16666666666666666,0.07241834106112514,0.0145625,0.013712499999999999
4,退烧药,0,0,,,,,
5,肠胃药,117,121,0.976573146426604,0.8099173553719008,0.8854718670877775,0.8888817205394397,0.7136906856725015
6,泻药通便,1,1,0.0,0.0,0.0,0.0,0.0
7,维生素,45,46,0.9275485168637122,0.8350619278211041,0.8788787732144882,0.9045698340672153,0.6778494108005049
8,抗过敏药,14,18,0.32064911672315494,0.6820555362899907,0.4362211835964345,0.28754385964912277,0.24506239456815115
9,外用药,51,62,0.8359317187994647,0.4110209628500068,0.5510801893193278,0.5407830939437857,0.43064889261072353
10,创可贴绷带,0,0,,,,,
11,慢性病药,37,40,0.5366496971427573,0.575,0.5551633336476476,0.46270320514244623,0.3917824135080919
12,心血管药,40,40,0.3986991772914343,0.46427466187864364,0.42899545113972504,0.33176417757483867,0.25652859428076813
13,中成药,287,297,0.7973259783876321,0.5563305535880944,0.655375706419617,0.7552253964604899,0.5853150384489197
14,妇科用药,9,14,0.12800538170195042,0.07142857142857142,0.09169192513729504,0.1440097983794988,0.12790143657679356
15,肛肠用药,0,0,,,,,
16,保健品,12,40,0.31108568049768004,0.325,0.31789065297820285,0.275452891860106,0.22749945811453148
17,其他,55,70,0.3901352467309262,0.36560007445559767,0.3774693897557715,0.28479637512265377,0.21134424715129213
