class_id,class_name,images,instances,precision,recall,f1,map50,map50_95
0,感冒药,82,106,0.8297255772882599,0.8301886792452831,0.8299570636660182,0.8937366038160383,0.7315849987757149
1,止咳化痰,34,41,0.9889628663567557,0.6341463414634146,0.7727726274014116,0.6943623815209181,0.5197036790610119
2,消炎药,119,123,0.8966575403807431,0.7054268422971374,0.7896291907863668,0.8632118563353397,0.7208165727782068
3,止痛药,5,6,0.0,0.0,0.0,0.00489051094890511,0.00489051094890511
4,退烧药,0,0,,,,,
5,肠胃药,117,121,0.9311425246227961,0.8264462809917356,0.8756761241190314,0.9144082179940806,0.717724351310556
6,泻药通便,1,1,1.0,0.0,0.0,0.33166666666666667,0.33166666666666667
7,维生素,45,46,0.8676663447563482,0.8695652173913043,0.8686147432970088,0.9129962668468685,0.7523035227945225
8,抗过敏药,14,18,0.31709375044498983,0.7222222222222222,0.4406978418919936,0.40022979797979796,0.34490672945672946
9,外用药,51,62,0.77382074208738,0.41935483870967744,0.5439358258932556,0.5156146693430506,0.40864972479743533
10,创可贴绷带,0,0,,,,,
11,慢性病药,37,40,0.41333313235934294,0.55,0.47197218731772766,0.44793520810087833,0.38199825092877154
12,心血管药,40,40,0.3360015011421535,0.475,0.39358919266549636,0.2818576413489503,0.2088115827784117
13,中成药,287,297,0.8345335152606932,0.622895622895623,0.7133482653889818,0.7702568631063823,0.601143095724623
14,妇科用药,9,14,0.29610012202974,0.21428571428571427,0.2486355287885121,0.23917467181940869,0.19474583371672188
15,肛肠用药,0,0,,,,,
16,保健品,12,40,0.3168271646060369,0.15,0.20360458128443262,0.20527974658228013,0.15673958633536964
17,其他,55,70,0.35608516585515054,0.024389063414776244,0.04565136360361015,0.21177520324898513,0.16401373955591522
