epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,147.903,1.11209,3.51788,2.46456,0.12873,0.39011,0.34832,0.2644,0.19967,0.83835,2.25627,1.92448,0.15595,0.000151169,0.000151169,0.000151169
2,284.295,0.95745,2.2273,1.97005,0.10272,0.59783,0.42634,0.40273,0.29604,0.84847,1.62895,1.86628,0.18724,0.000302631,0.000302631,0.000302631
3,417.893,0.93068,1.865,1.84235,0.10798,0.66035,0.37295,0.42096,0.32667,0.79877,1.43589,1.8032,0.14182,0.00045327,0.00045327,0.00045327
4,551.653,0.90808,1.61219,1.7614,0.10678,0.50049,0.42829,0.45596,0.35066,0.80797,1.24674,1.82112,0.14796,0.000452227,0.000452227,0.000452227
5,686.348,0.88909,1.488,1.72068,0.10213,0.53604,0.43761,0.43599,0.33948,0.78689,1.33096,1.80466,0.13401,0.000450078,0.000450078,0.000450078
6,822.328,0.86572,1.36513,1.69954,0.09865,0.58283,0.48659,0.46114,0.36058,0.76669,1.22661,1.77176,0.14868,0.000447326,0.000447326,0.000447326
7,954.248,0.84756,1.31366,1.67736,0.096,0.61293,0.48105,0.48169,0.36949,0.76095,1.12229,1.76251,0.12124,0.000443977,0.000443977,0.000443977
8,1086.63,0.82625,1.25735,1.63291,0.0915,0.59411,0.50645,0.48866,0.38246,0.731,1.08214,1.72687,0.11912,0.000440041,0.000440041,0.000440041
9,1216.84,0.81473,1.2174,1.61696,0.08889,0.52664,0.50823,0.49161,0.38221,0.75371,1.13111,1.77851,0.1246,0.000435528,0.000435528,0.000435528
10,1349.12,0.80299,1.175,1.6004,0.09116,0.61064,0.46964,0.51173,0.41539,0.71159,1.07804,1.69495,0.1187,0.000430452,0.000430452,0.000430452
11,1484.44,0.78758,1.12357,1.58417,0.08845,0.60454,0.48588,0.48324,0.38164,0.73482,1.06791,1.7316,0.11979,0.000424826,0.000424826,0.000424826
12,1622.14,0.77758,1.09106,1.57791,0.08663,0.55714,0.45804,0.46371,0.36917,0.7282,1.11152,1.70796,0.12577,0.000418665,0.000418665,0.000418665
13,1773.23,0.78024,1.06991,1.57103,0.08607,0.52872,0.48058,0.46306,0.37109,0.72016,1.04048,1.71659,0.11948,0.000411986,0.000411986,0.000411986
14,1914.12,0.76005,1.02518,1.55799,0.08288,0.63757,0.45939,0.47815,0.37785,0.73666,1.05562,1.73211,0.11906,0.000404808,0.000404808,0.000404808
15,2048.23,0.75359,0.99283,1.54012,0.08291,0.6116,0.47806,0.47549,0.37943,0.72795,1.11414,1.71132,0.11991,0.00039715,0.00039715,0.00039715
16,2181.15,0.74488,0.97864,1.5407,0.07948,0.59181,0.50034,0.47363,0.37289,0.72295,1.05712,1.72994,0.1227,0.000389033,0.000389033,0.000389033
17,2314.55,0.73405,0.94182,1.51233,0.07567,0.63332,0.47054,0.47414,0.38032,0.7197,1.05394,1.71468,0.11432,0.00038048,0.00038048,0.00038048
18,2447.14,0.72331,0.93045,1.50793,0.07493,0.56219,0.50733,0.50044,0.39397,0.71905,1.0378,1.73124,0.10703,0.000371514,0.000371514,0.000371514
19,2578.84,0.71566,0.90389,1.50361,0.0745,0.59237,0.504,0.48777,0.39143,0.72046,1.05464,1.72042,0.11342,0.000362159,0.000362159,0.000362159
20,2713.6,0.70359,0.88133,1.49002,0.07523,0.57619,0.48073,0.46477,0.37006,0.72231,1.09145,1.74738,0.12431,0.000352441,0.000352441,0.000352441
21,2847.71,0.69642,0.86906,1.48296,0.07682,0.60068,0.48739,0.46342,0.36847,0.71335,1.08307,1.72169,0.12443,0.000342388,0.000342388,0.000342388
