class_id,class_name,images,instances,precision,recall,f1,map50,map50_95
0,感冒药,82,106,0.8601302286311533,0.7452830188679245,0.7985986840614411,0.8739043027082893,0.7159017252198058
1,止咳化痰,34,41,0.9740450053305797,0.6341463414634146,0.7681760976795302,0.7016917580767261,0.5434273246126645
2,消炎药,119,123,0.884766535322287,0.7235772357723578,0.7960946352864179,0.8568990766891844,0.7247011680349446
3,止痛药,5,6,0.0,0.0,0.0,0.011170731707317073,0.010870731707317071
4,退烧药,0,0,,,,,
5,肠胃药,117,121,0.9339076780471217,0.8174645297101117,0.8718151372346963,0.9139654906338042,0.7283965867624006
6,泻药通便,1,1,1.0,0.0,0.0,0.0,0.0
7,维生素,45,46,0.9934171264416699,0.8695652173913043,0.927374306443715,0.9057232103884767,0.739079933270723
8,抗过敏药,14,18,0.3191495314529574,0.7222222222222222,0.4426793467629073,0.43249853112905023,0.33590141942935603
9,外用药,51,62,0.8041850346152818,0.4032258064516129,0.5371297790113178,0.5141378957241521,0.39213842372048446
10,创可贴绷带,0,0,,,,,
11,慢性病药,37,40,0.45908468844407874,0.525,0.48983479625968673,0.4316240146085161,0.36211177537884315
12,心血管药,40,40,0.46145348950063764,0.475,0.4681287644721913,0.301295794818753,0.21019825860164398
13,中成药,287,297,0.814228369070148,0.6345726063117507,0.7132615550008351,0.788505335537592,0.6082369678373419
14,妇科用药,9,14,0.15986613090374818,0.07142857142857142,0.0987399126319903,0.1444442869057548,0.12753492263961466
15,肛肠用药,0,0,,,,,
16,保健品,12,40,0.335911661681425,0.2,0.2507216660503343,0.26120858949362435,0.19332995215634927
17,其他,55,70,0.5344430482755783,0.35714285714285715,0.4281640525748294,0.37082982477704535,0.27055303593855606
