status,medicine_id,name,kind,existing_category_id,category_id,confidence,efficacy,pharmacology,atc,aliases,aliases_added,alias_conflicts,detail_url,reason
review_missing_efficacy,,复方氯雷他定缓释片,western,,8,0.96,,,系统用抗组胺药 | 抗组胺药的复方,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%A4%8D%E6%96%B9%E6%B0%AF%E9%9B%B7%E4%BB%96%E5%AE%9A%E7%BC%93%E9%87%8A%E7%89%87,站点药理分类明确为抗过敏药
review_missing_efficacy,,氯雷伪麻片,western,,,0.0,,,鼻用制剂 | 系统用鼻腔减充血药 | 拟交感神经药类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B0%AF%E9%9B%B7%E4%BC%AA%E9%BA%BB%E7%89%87,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,乳果糖口服溶液,western,,6,0.94,慢性功能性便秘。,消化系统用药 | 泻药及止泻药,轻泻药 | 渗透作用的轻泻药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E4%B9%B3%E6%9E%9C%E7%B3%96%E5%8F%A3%E6%9C%8D%E6%BA%B6%E6%B6%B2,站点分类或适应症明确为泻药通便
review_missing_efficacy,,乳果糖浓溶液,western,,,0.0,,,,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E4%B9%B3%E6%9E%9C%E7%B3%96%E6%B5%93%E6%BA%B6%E6%B6%B2,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,乳果糖溶液,western,,,0.0,,,,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E4%B9%B3%E6%9E%9C%E7%B3%96%E6%BA%B6%E6%B6%B2,站点分类无法可靠映射到项目现有类别
review_existing_alias,51,蒙脱石混悬液,western,,5,0.96,成人及儿童的急、慢性腹泻。用于食道、胃、十二指肠疾病引起的相关疼痛症状的辅助治疗，但本品不作解痉剂使用。,消化系统用药 | 泻药及止泻药,止泻药、肠道抗炎、抗感染药 | 肠道吸附药 | 其它肠道吸附药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%92%99%E8%84%B1%E7%9F%B3%E6%B7%B7%E6%82%AC%E6%B6%B2,该名称已是另一个药品的别名，未自动改写归属
review_missing_efficacy,,聚乙二醇粉剂,western,,,0.0,,,,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%81%9A%E4%B9%99%E4%BA%8C%E9%86%87%E7%B2%89%E5%89%82,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,羧甲基纤维素钠颗粒,western,,6,0.94,,,轻泻药 | 膨胀性缓泻剂,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%BE%A7%E7%94%B2%E5%9F%BA%E7%BA%A4%E7%BB%B4%E7%B4%A0%E9%92%A0%E9%A2%97%E7%B2%92,站点分类或适应症明确为泻药通便
review_missing_efficacy,,药用炭颗粒,western,,5,0.96,,,止泻药、肠道抗炎、抗感染药 | 肠道吸附药 | 活性炭制剂,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E8%8D%AF%E7%94%A8%E7%82%AD%E9%A2%97%E7%B2%92,站点分类明确为止泻或肠道吸附药
review_missing_efficacy,,布拉氏酵母菌胶囊,western,,5,0.96,,,止泻药、肠道抗炎、抗感染药 | 止泻的微生物,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%B8%83%E6%8B%89%E6%B0%8F%E9%85%B5%E6%AF%8D%E8%8F%8C%E8%83%B6%E5%9B%8A,站点分类明确为止泻或肠道吸附药
