epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,149.621,1.12789,3.58437,2.50207,0.13915,0.51423,0.36805,0.25578,0.19222,0.85646,2.35396,1.93105,0.16488,0.000151119,0.000151119,0.000151119
2,281.215,0.99296,2.30917,1.97034,0.12258,0.51997,0.36323,0.36856,0.28079,0.8415,1.74406,1.86921,0.16217,0.00030258,0.00030258,0.00030258
3,436.174,0.94937,1.8968,1.84914,0.12018,0.50664,0.39779,0.41949,0.32173,0.80223,1.45832,1.78311,0.14404,0.00045322,0.00045322,0.00045322
4,570.532,0.92712,1.65684,1.80181,0.11212,0.44043,0.44467,0.42871,0.32246,0.81321,1.33154,1.80754,0.1326,0.000452227,0.000452227,0.000452227
5,707.242,0.89278,1.52623,1.75033,0.09803,0.71019,0.41735,0.46617,0.36733,0.7567,1.22945,1.74886,0.13544,0.000450078,0.000450078,0.000450078
6,864.999,0.89221,1.45131,1.73656,0.10266,0.58776,0.49087,0.47917,0.37934,0.76869,1.19521,1.73924,0.13487,0.000447326,0.000447326,0.000447326
7,999.516,0.8538,1.33016,1.71429,0.09775,0.57334,0.47537,0.46922,0.36911,0.75893,1.14116,1.72885,0.12923,0.000443977,0.000443977,0.000443977
8,1131.87,0.84042,1.31125,1.68998,0.0952,0.56749,0.52043,0.47088,0.36451,0.80217,1.14289,1.83981,0.14396,0.000440041,0.000440041,0.000440041
9,1268.25,0.83132,1.24436,1.66768,0.09023,0.62979,0.46836,0.48636,0.37834,0.77818,1.14913,1.80191,0.1273,0.000435528,0.000435528,0.000435528
10,1396.94,0.81152,1.22633,1.64614,0.08764,0.58119,0.4969,0.47709,0.37447,0.74045,1.07732,1.72586,0.12755,0.000430452,0.000430452,0.000430452
11,1522.16,0.81226,1.18634,1.63414,0.08815,0.6317,0.47531,0.48065,0.38172,0.74092,1.0954,1.72544,0.11716,0.000424826,0.000424826,0.000424826
12,1661.71,0.79866,1.16015,1.61858,0.08625,0.60712,0.51377,0.48764,0.38676,0.73529,1.0411,1.74447,0.12198,0.000418665,0.000418665,0.000418665
13,1799.47,0.77036,1.09122,1.59965,0.08511,0.59548,0.49325,0.48297,0.36945,0.76965,1.09015,1.80624,0.13508,0.000411986,0.000411986,0.000411986
14,1946.64,0.77201,1.08053,1.59358,0.08485,0.64215,0.48627,0.49361,0.39445,0.71989,1.06469,1.70107,0.11774,0.000404808,0.000404808,0.000404808
15,2081.06,0.75729,1.05644,1.56768,0.08238,0.59717,0.51636,0.49301,0.39279,0.71223,1.04767,1.71288,0.12473,0.00039715,0.00039715,0.00039715
16,2216.85,0.74745,1.02995,1.55079,0.08004,0.60238,0.48326,0.48299,0.38381,0.73216,1.08307,1.73051,0.1171,0.000389033,0.000389033,0.000389033
17,2350.24,0.74321,1.0078,1.54859,0.07872,0.52696,0.48139,0.48341,0.38206,0.74372,1.04974,1.74414,0.12695,0.00038048,0.00038048,0.00038048
18,2476.27,0.74047,0.98736,1.53196,0.0822,0.62099,0.48898,0.48752,0.3932,0.72818,1.0591,1.75275,0.12398,0.000371514,0.000371514,0.000371514
19,2618.84,0.72276,0.96984,1.52374,0.07986,0.59041,0.48172,0.47619,0.38091,0.72676,1.1133,1.7149,0.12123,0.000362159,0.000362159,0.000362159
20,2751.13,0.72057,0.95518,1.52806,0.07497,0.5499,0.5094,0.46547,0.37265,0.70045,1.06727,1.69437,0.12448,0.000352441,0.000352441,0.000352441
21,2884.88,0.71921,0.92947,1.50598,0.07402,0.61768,0.539,0.48879,0.3957,0.70617,1.03341,1.70419,0.12186,0.000342388,0.000342388,0.000342388
