epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,170.85,1.16707,3.89737,2.29809,0.14191,0.24464,0.49326,0.15343,0.11201,0.96588,3.79339,2.08097,0.15499,0.000332134,0.000332134,0.0671187
2,329.401,1.10065,3.07739,2.05762,0.13628,0.35375,0.3548,0.25838,0.20197,0.84086,2.62769,1.8318,0.13721,0.000665034,0.000665034,0.0341183
3,479.589,1.05137,2.88295,1.93906,0.13758,0.40041,0.31132,0.26669,0.20713,0.83994,2.59093,1.84457,0.12632,0.000996202,0.000996202,0.00111611
4,631.35,1.04239,2.75422,1.9467,0.129,0.28482,0.40703,0.30297,0.23393,0.86571,2.38781,1.77113,0.15996,0.000994152,0.000994152,0.000994152
5,782.973,1.00749,2.6196,1.87824,0.12452,0.36656,0.32948,0.30772,0.24151,0.79834,2.42249,1.77163,0.13413,0.00098962,0.00098962,0.00098962
6,959.658,0.98119,2.50094,1.85466,0.12012,0.48264,0.253,0.31503,0.24822,0.80251,2.25087,1.76168,0.13419,0.000983815,0.000983815,0.000983815
7,1140.84,0.96081,2.44271,1.84446,0.11446,0.44977,0.3506,0.34713,0.27237,0.80716,2.05453,1.81781,0.13519,0.000976752,0.000976752,0.000976752
8,1324.07,0.9449,2.36079,1.80554,0.11234,0.39016,0.30332,0.33746,0.2648,0.77998,2.2131,1.73436,0.13115,0.000968451,0.000968451,0.000968451
9,1507.06,0.94573,2.34667,1.81151,0.10967,0.37943,0.36159,0.362,0.28507,0.79738,2.00623,1.73676,0.12457,0.000958934,0.000958934,0.000958934
10,1686.59,0.93791,2.25712,1.79141,0.10875,0.45451,0.36957,0.3747,0.30121,0.75235,1.82324,1.68566,0.11975,0.000948228,0.000948228,0.000948228
11,1852.68,0.90922,2.18307,1.75608,0.10558,0.35248,0.3875,0.37019,0.29586,0.75517,2.11157,1.66954,0.13395,0.000936362,0.000936362,0.000936362
12,2011.37,0.90383,2.14357,1.74817,0.10261,0.48455,0.40238,0.39197,0.31162,0.73925,1.77498,1.67745,0.12886,0.000923369,0.000923369,0.000923369
13,2170.16,0.89456,2.07956,1.73564,0.1012,0.43699,0.36903,0.38628,0.31057,0.75059,1.83003,1.68029,0.1211,0.000909283,0.000909283,0.000909283
14,2329.7,0.89341,2.06488,1.73873,0.10101,0.48769,0.39007,0.37398,0.30213,0.73828,1.82927,1.67514,0.11144,0.000894144,0.000894144,0.000894144
15,2489.58,0.87349,2.00744,1.71993,0.09967,0.47705,0.40544,0.37581,0.30223,0.72802,1.82306,1.66054,0.11708,0.000877994,0.000877994,0.000877994
16,2649.5,0.87243,1.98416,1.70768,0.10137,0.46765,0.44065,0.39584,0.31771,0.72362,1.72679,1.65352,0.11397,0.000860876,0.000860876,0.000860876
17,2808.13,0.85001,1.9182,1.69345,0.09411,0.52831,0.36008,0.37603,0.30326,0.73161,1.84018,1.65199,0.12173,0.000842837,0.000842837,0.000842837
18,2967.03,0.84428,1.90434,1.68086,0.08919,0.47404,0.39122,0.3939,0.31907,0.73102,1.6665,1.66264,0.11574,0.000823927,0.000823927,0.000823927
19,3124.94,0.84177,1.86237,1.69863,0.09836,0.56797,0.39627,0.40087,0.3265,0.70455,1.69955,1.63825,0.10626,0.000804198,0.000804198,0.000804198
20,3283.19,0.8293,1.8429,1.67406,0.09209,0.57822,0.39785,0.39581,0.3187,0.70648,1.70559,1.64434,0.10375,0.000783704,0.000783704,0.000783704
21,3441.94,0.83721,1.83761,1.67001,0.08922,0.52208,0.38669,0.39934,0.32559,0.71447,1.6614,1.66002,0.1016,0.0007625,0.0007625,0.0007625
22,3600.99,0.82106,1.83507,1.65066,0.09007,0.50709,0.40618,0.39711,0.32564,0.69611,1.58989,1.62014,0.09818,0.000740645,0.000740645,0.000740645
23,3765.65,0.79865,1.711,1.63821,0.09018,0.5036,0.41288,0.39933,0.3224,0.70448,1.66597,1.63515,0.09907,0.0007182,0.0007182,0.0007182
24,3927.81,0.7975,1.73631,1.62873,0.08839,0.6556,0.40572,0.39871,0.32758,0.69727,1.60658,1.62912,0.10771,0.000695225,0.000695225,0.000695225
25,4086.5,0.80614,1.72298,1.62297,0.08751,0.5541,0.42438,0.40071,0.3258,0.70873,1.64154,1.64752,0.10887,0.000671783,0.000671783,0.000671783
26,4244.66,0.81002,1.71059,1.63563,0.0877,0.54277,0.41388,0.40181,0.3261,0.68296,1.66705,1.62008,0.10302,0.000647939,0.000647939,0.000647939
27,4405.54,0.79552,1.65713,1.61847,0.08555,0.56925,0.41645,0.4044,0.329,0.69019,1.59362,1.61385,0.10442,0.000623758,0.000623758,0.000623758
28,4565.03,0.79042,1.6477,1.61345,0.08645,0.61733,0.39415,0.4046,0.33057,0.6865,1.61695,1.60911,0.09807,0.000599306,0.000599306,0.000599306
29,4723.66,0.77283,1.62087,1.60513,0.08063,0.62775,0.411,0.41036,0.33576,0.68915,1.5932,1.6174,0.10093,0.000574651,0.000574651,0.000574651
30,4881.84,0.75695,1.58855,1.57999,0.08084,0.61497,0.41231,0.39973,0.32865,0.67424,1.62395,1.60741,0.09535,0.00054986,0.00054986,0.00054986
31,5040.76,0.77625,1.6173,1.5949,0.08135,0.61238,0.41675,0.40732,0.33513,0.67372,1.58412,1.61482,0.09605,0.000525,0.000525,0.000525
32,5200.07,0.76432,1.57646,1.58244,0.07759,0.53959,0.40373,0.41068,0.33648,0.68661,1.52651,1.61974,0.10256,0.00050014,0.00050014,0.00050014
33,5360.36,0.75683,1.53823,1.57845,0.07747,0.66186,0.39145,0.40724,0.33512,0.67603,1.59627,1.61997,0.09302,0.000475349,0.000475349,0.000475349
34,5517.94,0.73652,1.50947,1.56749,0.07759,0.65438,0.39844,0.40959,0.33542,0.68903,1.58417,1.62904,0.09133,0.000450694,0.000450694,0.000450694
35,5677.27,0.74182,1.49436,1.55726,0.07548,0.64683,0.40194,0.39227,0.32293,0.68115,1.63872,1.62048,0.10058,0.000426242,0.000426242,0.000426242
36,5836.64,0.73505,1.48433,1.54963,0.07676,0.59979,0.39757,0.40909,0.33634,0.678,1.57543,1.61131,0.09708,0.000402061,0.000402061,0.000402061
37,5995.77,0.73397,1.45358,1.55027,0.07579,0.59397,0.40379,0.40344,0.33274,0.65823,1.57222,1.60311,0.09796,0.000378217,0.000378217,0.000378217
38,6155.74,0.71956,1.40974,1.54883,0.07674,0.72077,0.40843,0.40656,0.33165,0.66606,1.56765,1.60009,0.09741,0.000354775,0.000354775,0.000354775
39,6314.73,0.71042,1.43358,1.52707,0.07197,0.74215,0.39645,0.40654,0.33346,0.67101,1.58634,1.61353,0.09705,0.0003318,0.0003318,0.0003318
40,6473.91,0.71654,1.37933,1.53803,0.07436,0.73366,0.3876,0.41153,0.33674,0.65826,1.5741,1.58303,0.09418,0.000309355,0.000309355,0.000309355
41,6632.54,0.70423,1.35344,1.51498,0.07109,0.58873,0.42385,0.40051,0.32822,0.66484,1.59128,1.59509,0.09554,0.0002875,0.0002875,0.0002875
42,6793.13,0.71525,1.36117,1.53794,0.07243,0.62798,0.39519,0.39519,0.32363,0.6669,1.63357,1.60319,0.09724,0.000266296,0.000266296,0.000266296
43,6951.91,0.70884,1.38066,1.51391,0.06686,0.62677,0.39006,0.40424,0.33077,0.67394,1.60994,1.60948,0.0942,0.000245802,0.000245802,0.000245802
44,7097.15,0.69788,1.35047,1.51749,0.06755,0.57637,0.41174,0.39374,0.32288,0.6703,1.59676,1.60328,0.09977,0.000226073,0.000226073,0.000226073
45,7240.69,0.69704,1.2889,1.50547,0.07044,0.70259,0.40601,0.41,0.33859,0.66072,1.5956,1.60698,0.09469,0.000207163,0.000207163,0.000207163
46,7377.57,0.68659,1.27516,1.50158,0.06944,0.70193,0.40041,0.39921,0.33018,0.65627,1.6283,1.60615,0.09595,0.000189124,0.000189124,0.000189124
47,7511.17,0.6888,1.27802,1.50593,0.06745,0.56843,0.40925,0.39753,0.32696,0.66101,1.64098,1.6117,0.09521,0.000172006,0.000172006,0.000172006
48,7642.99,0.68193,1.2653,1.49517,0.06678,0.63082,0.40201,0.39992,0.32762,0.66396,1.6422,1.60824,0.09631,0.000155856,0.000155856,0.000155856
49,7772.42,0.68287,1.26956,1.49736,0.06956,0.59391,0.37682,0.38821,0.32145,0.65953,1.64036,1.60111,0.09439,0.000140717,0.000140717,0.000140717
50,7925.68,0.66799,1.22665,1.47751,0.06555,0.63613,0.40047,0.39464,0.3257,0.6607,1.62874,1.5987,0.09763,0.000126631,0.000126631,0.000126631
51,8065.71,0.51389,0.79861,1.38753,0.06469,0.61417,0.41108,0.38478,0.31779,0.65806,1.66218,1.59762,0.09282,0.000113638,0.000113638,0.000113638
52,8225.44,0.50629,0.77917,1.38302,0.06417,0.63639,0.39627,0.38178,0.31443,0.66385,1.65931,1.60514,0.09361,0.000101772,0.000101772,0.000101772
