epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,135.338,1.12077,3.60442,2.52168,0.12016,0.50951,0.30814,0.24489,0.18624,0.82868,2.36164,1.98036,0.13959,0.000151133,0.000151133,0.000151133
2,263.501,0.99089,2.32591,1.996,0.11883,0.65658,0.35442,0.38161,0.29823,0.80826,1.74152,1.81481,0.14676,0.000302594,0.000302594,0.000302594
3,404.506,0.95798,1.8976,1.86013,0.11125,0.57041,0.39149,0.44072,0.34042,0.78345,1.37679,1.81414,0.14648,0.000453234,0.000453234,0.000453234
4,551.24,0.93006,1.66791,1.81823,0.10794,0.61607,0.4191,0.43617,0.3391,0.79319,1.31633,1.80456,0.13649,0.000452227,0.000452227,0.000452227
5,675.426,0.89892,1.53612,1.75184,0.10584,0.5423,0.49357,0.4729,0.36724,0.78722,1.21041,1.79693,0.14185,0.000450078,0.000450078,0.000450078
6,799.292,0.88562,1.42614,1.74298,0.09927,0.60775,0.47704,0.48375,0.37569,0.78041,1.12904,1.81391,0.1245,0.000447326,0.000447326,0.000447326
7,928.228,0.85063,1.37125,1.70635,0.09524,0.59062,0.45895,0.49421,0.39015,0.74914,1.07972,1.75892,0.14144,0.000443977,0.000443977,0.000443977
8,1052.59,0.82717,1.28518,1.65918,0.09505,0.6026,0.48664,0.4821,0.37856,0.74278,1.13629,1.76811,0.12414,0.000440041,0.000440041,0.000440041
9,1174.48,0.82918,1.23903,1.66818,0.09214,0.64563,0.52889,0.49149,0.38581,0.75084,1.12005,1.75618,0.12472,0.000435528,0.000435528,0.000435528
10,1301.48,0.80797,1.21262,1.64278,0.09062,0.60068,0.53415,0.48673,0.38161,0.75771,1.07921,1.76133,0.13497,0.000430452,0.000430452,0.000430452
11,1440.84,0.80741,1.19604,1.63819,0.08787,0.64899,0.47424,0.48175,0.38391,0.74056,1.11806,1.76041,0.12522,0.000424826,0.000424826,0.000424826
12,1581.55,0.79797,1.1699,1.61469,0.08452,0.63213,0.48352,0.48703,0.37973,0.75648,1.0759,1.78744,0.12951,0.000418665,0.000418665,0.000418665
13,1706.11,0.7821,1.11292,1.59765,0.08283,0.61721,0.52606,0.49644,0.39738,0.72941,1.05942,1.72246,0.12582,0.000411986,0.000411986,0.000411986
14,1830.29,0.77516,1.08784,1.58783,0.08532,0.5381,0.51606,0.48347,0.38581,0.73887,1.08165,1.72546,0.13355,0.000404808,0.000404808,0.000404808
15,1953.98,0.76565,1.08779,1.57415,0.08376,0.63554,0.47858,0.49984,0.3965,0.73705,1.04454,1.73107,0.12462,0.00039715,0.00039715,0.00039715
16,2081.1,0.75121,1.02676,1.55697,0.08307,0.65985,0.50121,0.48918,0.38822,0.72903,1.0732,1.72947,0.1153,0.000389033,0.000389033,0.000389033
17,2210.29,0.74234,1.00345,1.55168,0.07778,0.57651,0.50459,0.47954,0.37742,0.74458,1.11301,1.78244,0.11828,0.00038048,0.00038048,0.00038048
18,2338.95,0.73144,0.98605,1.54862,0.081,0.59827,0.50206,0.49208,0.39263,0.72271,1.08633,1.71503,0.11563,0.000371514,0.000371514,0.000371514
19,2477.53,0.72551,0.9598,1.53041,0.07936,0.61759,0.50571,0.48346,0.38426,0.73159,1.1008,1.7459,0.12779,0.000362159,0.000362159,0.000362159
20,2607.53,0.7351,0.97796,1.54237,0.0794,0.57867,0.51364,0.48334,0.38532,0.71989,1.04091,1.74238,0.11664,0.000352441,0.000352441,0.000352441
21,2731.27,0.72608,0.95922,1.51867,0.07657,0.54207,0.49061,0.48938,0.39138,0.71977,1.03727,1.72698,0.12152,0.000342388,0.000342388,0.000342388
